E,#,LOSS transformer,LOSS textcat_multilabel,CATS_SCORE,SCORE
0,0,0.51,0.74,53.32,0.53
0,200,1208.28,102.56,91.67,0.92
0,400,413.43,54.66,95.22,0.95
0,600,265.05,40.92,97.91,0.98
0,800,224.03,34.34,98.45,0.98
1,1000,206.29,31.59,98.76,0.99
1,1200,166.59,25.57,98.59,0.99
1,1400,143.84,25.4,98.93,0.99
1,1600,136.61,25.03,99.15,0.99
1,1800,128.59,22.45,99.19,0.99
1,2000,134.06,24.45,99.15,0.99
2,2200,113.41,20.64,99.12,0.99
2,2400,112.13,20.12,99.0,0.99
2,2600,101.25,19.95,99.16,0.99
2,2800,100.9,18.95,99.21,0.99
2,3000,100.66,19.52,99.22,0.99
3,3200,87.2,19.35,99.21,0.99
3,3400,88.61,16.95,99.32,0.99
3,3600,78.89,18.45,99.35,0.99
3,3800,75.22,16.71,99.38,0.99
3,4000,76.3,17.16,99.26,0.99
4,4200,77.6,12.71,99.36,0.99
4,4400,74.89,17.14,99.33,0.99
4,4600,73.87,16.01,99.31,0.99
4,4800,72.33,14.09,99.28,0.99
4,5000,69.37,13.55,99.43,0.99
5,5200,68.29,10.63,99.37,0.99
5,5400,75.65,13.85,99.34,0.99
5,5600,63.97,11.31,99.43,0.99
5,5800,59.96,13.57,99.29,0.99
5,6000,61.6,13.69,99.41,0.99
6,6200,59.51,11.39,99.35,0.99
6,6400,57.12,11.2,99.39,0.99
6,6600,57.41,11.24,99.43,0.99
6,6800,57.68,12.48,99.33,0.99
6,7000,60.76,12.14,99.35,0.99
7,7200,57.48,10.51,99.46,0.99
7,7400,56.88,8.53,99.44,0.99
7,7600,55.47,10.1,99.5,0.99
7,7800,57.74,8.96,99.49,0.99
7,8000,55.87,9.54,99.39,0.99
8,8200,52.64,9.56,99.46,0.99
8,8400,49.05,8.76,99.22,0.99
8,8600,51.07,8.89,99.41,0.99
8,8800,52.91,9.71,99.34,0.99
8,9000,53.46,8.41,99.4,0.99
9,9200,53.7,7.61,99.44,0.99
